,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
170,Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,4DvhkX2ic4zWkQeWMwQ2qf,0.00676,0.435,216893,0.837,0.0,3,0.117,-8.126,0.449,124.913,4,0.778,71,"asian american hip hop,dance pop,edm,pop rap",dance pop,15,0,0
171,Without You,David Guetta Featuring Usher,2011,7rGMKCgeYXpBecQ1FPb3oc,0.227,0.608,208133,0.614,3.82e-06,2,0.157,-3.727,0.0285,127.885,4,0.402,91,"big room,dance pop,edm,pop,pop dance",pop,36,0,0
172,Back To December,Taylor Swift,2011,3DrjZArsPsoqbLzUZZV1Id,0.117,0.529,293027,0.67,0.0,2,0.334,-4.663,0.0303,141.893,4,0.286,98,"pop,post-teen pop",pop,36,0,0
173,Teenage Dream,Katy Perry,2011,0RSvhappnRHZYXeEBgXHHz,0.0162,0.719,227741,0.798,2.34e-06,10,0.134,-4.582,0.0361,120.011,4,0.591,88,"dance pop,pop,post-teen pop",pop,36,0,0
174,Crazy Girl,Eli Young Band,2011,1nVLAEzhBXMJLR5zAl90Nl,0.000415,0.366,200707,0.651,0.00526,4,0.271,-3.842,0.031,151.343,3,0.257,67,"contemporary country,country,country road,heartland rock,modern country rock,pop rock,texas country",contemporary country,12,0,0
175,Cheers (Drink To That),Rihanna,2011,46MDLc0Yip6xCMSsdePOAU,0.0182,0.576,261747,0.912,0.0,9,0.293,-3.623,0.0403,79.981,4,0.727,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
176,Who Says,Selena Gomez & The Scene,2011,1VENmdw9mA1R8qGKTHwjqk,0.0836,0.682,195387,0.927,0.0,4,0.152,-2.89,0.048,101.016,4,0.745,72,"dance pop,electropop,pop,pop rap,post-teen pop,viral pop",pop,36,0,0
177,Barefoot Blue Jean Night,Jake Owen,2011,3ts6xK5GzfMAAriT9AIBmP,0.202,0.599,167427,0.807,0.0,4,0.196,-4.679,0.0402,172.017,4,0.812,72,"contemporary country,country,country road,modern country rock",contemporary country,12,0,0
178,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011,1yEwEiTpsaPhQi9lb5EVV4,0.432,0.715,203173,0.584,1.41e-06,8,0.095,-8.231,0.0296,90.987,4,0.61,77,"contemporary country,country,country road,modern country rock",contemporary country,12,0,0
179,Country Girl (Shake It For Me),Luke Bryan,2011,0yD66650JxhqKbW76C2qCo,0.0293,0.645,225560,0.904,0.0,2,0.0834,-4.532,0.0462,105.97,4,0.671,80,"contemporary country,country,country road",contemporary country,12,0,0
180,Remind Me,Brad Paisley Duet With Carrie Underwood,2011,4ABua0yuWcpTotImEEJTaw,0.0603,0.485,271907,0.726,1.75e-05,5,0.225,-4.2,0.0327,140.781,4,0.288,72,"contemporary country,country,country road",contemporary country,12,0,0
181,In The Dark,Dev,2011,4VTErodIk9Z2rof8g4AqaK,0.0153,0.761,219760,0.845,8.07e-06,8,0.347,-4.668,0.0848,124.983,4,0.384,67,"dance pop,electropop,post-teen pop",dance pop,15,0,0
182,Backseat,New Boyz Featuring The Cataracs & Dev,2011,3qgZzdpfU8wXeUFV6Jxuzi,0.0724,0.591,224107,0.924,0.0,7,0.602,-3.504,0.115,125.067,4,0.8,62,"dance pop,pop rap,southern hip hop",dance pop,15,0,0
183,Headlines,Drake,2011,3pVYaDSQ4z0RIrxXQOzbR9,0.37,0.636,236000,0.548,0.000525,6,0.0918,-7.178,0.089,152.05,4,0.422,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",pop rap,38,0,0
184,Best Thing I Never Had,Beyonce,2011,5OrX4PR74Ttezdj5soO1BV,0.143,0.545,253747,0.649,1.57e-05,6,0.0894,-4.062,0.0324,99.099,4,0.297,88,"dance pop,pop,post-teen pop,r&b",pop,36,0,0
